30.10.2024, 16:12
Статистика проекта

                    	Сегменты	 Слова	Символы (без пробелов)	Символы (с пробелами)	Количество файлов	
Всего:              	   66147	668095	               4052836	              4654974	              122	
Осталось:           	   25632	381996	               2133634	              2490787	               83	
Уникальные:         	   54088	584871	               3529683	              4060759	              122	
Осталось уникальных:	   22013	336937	               1878942	              2194414	               83	


Статистика по отдельным файлам:

Имя файла                                                               	Всего сегментов	Осталось сегментов	Уникальные сегменты	Осталось уникальных сегментов	Всего слов	Осталось слов	Уникальные слова	Осталось уникальных слов	Всего символов (без пробелов)	Осталось символов (без пробелов)	Уникальные символы (без пробелов)	Осталось уникальных символов (без пробелов)	Всего символов (с пробелами)	Осталось символов (с пробелами)	Уникальные символы (с пробелами)	Осталось уникальных символов (с пробелами)	
localisation/russian/giga_patreon_blokkats_l_russian.yml                	             45	                27	                 37	                           22	       713	          515	             605	                     424	                         3797	                            2738	                             3228	                                       2252	                        4474	                           3233	                            3805	                                      2661	
localisation/russian/giga_primitives_l_russian.yml                      	             72	                 0	                 66	                            0	       166	            0	             155	                       0	                         1202	                               0	                             1116	                                          0	                        1296	                              0	                            1205	                                         0	
localisation/russian/giga_situations_l_russian.yml                      	             82	                10	                 65	                           10	       230	           69	             212	                      69	                         2162	                             321	                             1579	                                        321	                        2311	                            380	                            1727	                                       380	
localisation/russian/leng_uap_l_russian.yml                             	             58	                 5	                 33	                            5	       240	           62	             194	                      62	                         2086	                             342	                             1386	                                        342	                        2257	                            400	                            1546	                                       400	
localisation/russian/megalist_l_russian.yml                             	              8	                 4	                  7	                            4	        97	           90	              96	                      90	                          770	                             703	                              758	                                        703	                         863	                            789	                             849	                                       789	
localisation/russian/namelist_sbtg_design_names_l_russian.yml           	             75	                 2	                 72	                            2	       168	            2	             163	                       2	                          994	                              22	                              965	                                         22	                        1087	                             22	                            1056	                                        22	
localisation/russian/regentmaker_l_russian.yml                          	            152	                24	                120	                           16	       831	          127	             775	                     117	                         5385	                             717	                             4635	                                        686	                        6156	                            843	                            5318	                                       810	
localisation/russian/replace/acot_00_army_l_russian.yml                 	           1386	               687	                935	                          356	     15228	        11555	            8546	                    5821	                        84005	                           61856	                            47356	                                      31085	                       97775	                          72658	                           54938	                                     36521	
localisation/russian/replace/acot_00_building_l_russian.yml             	            641	               325	                584	                          306	      7280	         4810	            6867	                    4598	                        40268	                           25242	                            37910	                                      24161	                       46892	                          29712	                           44180	                                     28440	
localisation/russian/replace/acot_00_components_aux_l_russian.yml       	            161	                 0	                110	                            0	       648	            0	             450	                       0	                         4644	                               0	                             3333	                                          0	                        5176	                              0	                            3716	                                         0	
localisation/russian/replace/acot_00_components_core_l_russian.yml      	            488	               224	                244	                           95	      4784	         3166	            2320	                    1327	                        26660	                           16775	                            13202	                                       7206	                       30957	                          19705	                           15272	                                      8431	
localisation/russian/replace/acot_00_components_weapons_l_russian.yml   	           1534	               275	                727	                           83	     11751	         4612	            4405	                    1200	                        69789	                           24743	                            27410	                                       6668	                       80006	                          29098	                           31066	                                      7782	
localisation/russian/replace/acot_00_dark_matter_l_russian.yml          	            279	               159	                241	                          133	      3489	         2546	            3056	                    2196	                        18361	                           12822	                            16032	                                      11003	                       21568	                          15204	                           18845	                                     13062	
